"ObjectName","IndexName","index_id","Writes","Total Reads","Index Type","Fill Factor","has_filter","filter_definition","last_system_update","last_user_update"
"CTPhatSinh03","IX_CTPhatSinh_MaThe13","2","1","6718","NONCLUSTERED","0","False","","","4/11/2025 1:00:00 AM"
"CTPhatSinh08","PK__CTPhatSinh08","1","1","7228","CLUSTERED","0","False","","","9/11/2025 1:00:00 AM"
"CTPhatSinh08","IX_CTPhatSinh_MaThe13","2","1","2427","NONCLUSTERED","0","False","","","9/11/2025 1:00:00 AM"
"CTPhatSinh04","PK__CTPhatSinh04","1","1","7158","CLUSTERED","0","False","","","5/11/2025 1:00:00 AM"
"CTPhatSinh04","IX_CTPhatSinh_MaThe13","2","1","5971","NONCLUSTERED","0","False","","","5/11/2025 1:00:00 AM"
"CTPhatSinh_KhuyenMai04","PK_CTPhatSinh_KhuyenMai04","1","1","17","CLUSTERED","0","False","","","5/12/2025 1:00:00 AM"
"CTPhatSinh_KhuyenMai04","IX_CTPhatSinh_KhuyenMai04","2","1","0","NONCLUSTERED","0","False","","","5/12/2025 1:00:00 AM"
"CTPhatSinh_KhuyenMai09","PK_CTPhatSinh_KhuyenMai09","1","1","17","CLUSTERED","0","False","","","10/12/2025 1:00:01 AM"
"CTPhatSinh_KhuyenMai09","IX_CTPhatSinh_KhuyenMai09","2","1","0","NONCLUSTERED","0","False","","","10/12/2025 1:00:01 AM"
"CTPhatSinh_KhuyenMai10","PK_CTPhatSinh_KhuyenMai10","1","1","17","CLUSTERED","0","False","","","11/12/2025 1:00:01 AM"
"CTPhatSinh_KhuyenMai10","IX_CTPhatSinh_KhuyenMai10","2","1","0","NONCLUSTERED","0","False","","","11/12/2025 1:00:01 AM"
"CTPhatSinh_KhuyenMai05","PK_CTPhatSinh_KhuyenMai05","1","1","17","CLUSTERED","0","False","","","6/12/2025 1:00:00 AM"
"CTPhatSinh_KhuyenMai05","IX_CTPhatSinh_KhuyenMai05","2","1","0","NONCLUSTERED","0","False","","","6/12/2025 1:00:00 AM"
"LichSuThayDoiHTX","PK_LichSuThayDoiHTX","1","1","0","CLUSTERED","0","False","","","12/8/2025 10:18:37 AM"
"CTPhatSinh_KhuyenMai03","PK_CTPhatSinh_KhuyenMai03","1","1","17","CLUSTERED","0","False","","","4/12/2025 1:00:00 AM"
"CTPhatSinh_KhuyenMai03","IX_CTPhatSinh_KhuyenMai03","2","1","0","NONCLUSTERED","0","False","","","4/12/2025 1:00:00 AM"
"CustomerList","","0","1","1","HEAP","0","False","","","5/6/2025 9:21:14 AM"
"CTPhatSinh05","PK__CTPhatSinh05","1","1","7391","CLUSTERED","0","False","","","6/11/2025 1:00:00 AM"
"CTPhatSinh05","IX_CTPhatSinh_MaThe13","2","1","5453","NONCLUSTERED","0","False","","","6/11/2025 1:00:00 AM"
"CTPhatSinh06","PK__CTPhatSinh06","1","1","7230","CLUSTERED","0","False","","","7/11/2025 1:00:00 AM"
"CTPhatSinh06","IX_CTPhatSinh_MaThe13","2","1","4291","NONCLUSTERED","0","False","","","7/11/2025 1:00:00 AM"
"CTPhatSinh11","PK__CTPhatSinh11","1","1","6803","CLUSTERED","0","False","","","12/11/2025 1:00:00 AM"
"CTPhatSinh11","IX_CTPhatSinh_MaThe13","2","1","26","NONCLUSTERED","0","False","","","12/11/2025 1:00:00 AM"
"CTPhatSinh_KhuyenMai07","PK_CTPhatSinh_KhuyenMai07","1","1","17","CLUSTERED","0","False","","","8/12/2025 1:00:00 AM"
"CTPhatSinh_KhuyenMai07","IX_CTPhatSinh_KhuyenMai07","2","1","0","NONCLUSTERED","0","False","","","8/12/2025 1:00:00 AM"
"CTPhatSinh09","PK__CTPhatSinh09","1","1","7193","CLUSTERED","0","False","","","10/11/2025 1:00:00 AM"
"CTPhatSinh09","IX_CTPhatSinh_MaThe13","2","1","1634","NONCLUSTERED","0","False","","","10/11/2025 1:00:00 AM"
"NhomNhanVien","PK__NhomNhanVien__27E3DFFF","1","0","125","CLUSTERED","0","False","","",""
"QuaTang","PK__QuaTang__3DD3211E","1","0","7413954","CLUSTERED","0","False","","",""
"CTPhatSinh_KhuyenMaiPOS03","PK__CTPhatSinh_KhuyenMaiPOS03","1","0","1015","CLUSTERED","0","False","","",""
"DMNguonDKyKH","PK_DMNguonDKyKH","1","0","11625","CLUSTERED","0","False","","",""
"CTPhatSinh_KhuyenMaiPOS04","PK__CTPhatSinh_KhuyenMaiPOS04","1","0","1014","CLUSTERED","0","False","","",""
"CTPhatSinh_KhuyenMaiPOS07","PK__CTPhatSinh_KhuyenMaiPOS07","1","0","1082","CLUSTERED","0","False","","",""
"ConstString1","PK__ConstString1__607251E5","1","0","9904","CLUSTERED","0","False","","",""
"NhomQuyen","PK__NhomQuyen__4C214075","1","0","4","CLUSTERED","0","False","","",""
"CTPhatSinh_KhuyenMaiPOS09","PK__CTPhatSinh_KhuyenMaiPOS09","1","0","1027","CLUSTERED","0","False","","",""
"CTPhatSinh_KhuyenMaiPOS05","PK__CTPhatSinh_KhuyenMaiPOS05","1","0","1210","CLUSTERED","0","False","","",""
"CTPhatSinh_KhuyenMaiPOS06","PK__CTPhatSinh_KhuyenMaiPOS06","1","0","1117","CLUSTERED","0","False","","",""
"LyDo","PK__LyDo__3335971A","1","0","45116","CLUSTERED","0","False","","",""
"QuocGia","PK__QuocGia__597B3B93","1","0","75484","CLUSTERED","0","False","","",""
