"Object Name","Object Type","Index Name","Statistics Date","auto_created","no_recompute","user_created","is_incremental","is_temporary","row_count","used_page_count"
"dbo.LoaiLyDo","USER_TABLE","PK__LoaiLyDo__351DDF8C","1/1/2025 1:31:48 AM","False","False","False","False","False","7","2"
"dbo.LoaiKhuyenMai","USER_TABLE","PK__LoaiKhuyenMai__40AF8DC9","1/1/2025 1:31:48 AM","False","False","False","False","False","13","2"
"dbo.LoaiDongThuongHieu","USER_TABLE","PK_LoaiDongThuongHieu","1/1/2025 1:31:48 AM","False","False","False","False","False","59","4"
"dbo.KyTuDinhDang","USER_TABLE","PK_KyTuDinhDang","1/1/2025 1:31:48 AM","False","False","False","False","False","9","2"
"dbo.KhuyenMaiPOS","USER_TABLE","PK_KhuyenMaiPOS","1/1/2025 1:31:48 AM","False","False","False","False","False","171","7"
"dbo.KhuyenMai_SieuThi","USER_TABLE","PK__KhuyenMai_SieuTh__5E3FF0B0","1/1/2025 1:31:48 AM","False","False","False","False","False","174","2"
"dbo.KhuyenMai","USER_TABLE","PK__KhuyenMai__3631FF56","1/1/2025 1:31:48 AM","False","False","False","False","False","174","7"
"dbo.KhuVuc","USER_TABLE","PK__KhuVuc__6B1AC8E1","1/1/2025 1:31:48 AM","False","False","False","False","False","12","2"
"dbo.DMThuNhap","USER_TABLE","PK_DMThuNhap","1/1/2025 1:31:47 AM","False","False","False","False","False","4","2"
"dbo.DMNguonDKyKH","USER_TABLE","PK_DMNguonDKyKH","1/1/2025 1:31:47 AM","False","False","False","False","False","4","2"
"dbo.DMLoaiKH","USER_TABLE","PK_DMLoaiKH","1/1/2025 1:31:47 AM","False","False","False","False","False","6","2"
"dbo.CTQuyenNhomNhanVien","USER_TABLE","PK_CTQuyenNhomNhanVien","1/1/2025 1:31:46 AM","False","False","False","False","False","212","5"
"dbo.CTNhomQuyen","USER_TABLE","PK__CTNhomQuyen__4FF1D159","1/1/2025 1:31:46 AM","False","False","False","False","False","146","2"
"dbo.CTDMQuyen","USER_TABLE","PK_CTDMQuyen","1/1/2025 1:31:46 AM","False","False","False","False","False","133","4"
"dbo.ConstString1","USER_TABLE","PK__ConstString1__607251E5","1/1/2025 1:31:46 AM","False","False","False","False","False","1","2"
"dbo.ChuongTrinh","USER_TABLE","PK__ChuongTrinh__29CC2871","1/1/2025 1:31:46 AM","False","False","False","False","False","1","2"
"dbo.CauHinhSKU_LoaiDMH","USER_TABLE","PK__CauHinhSKU_LoaiDMH","1/1/2025 1:31:46 AM","False","False","False","False","False","97","4"
"dbo.CauHinhKetNoi","USER_TABLE","PK_CauHinhKetNoi","1/1/2025 1:31:46 AM","False","False","False","False","False","733","29"
"dbo.CauHinhHeThong","USER_TABLE","PK_CauHinhHeThong","1/1/2025 1:31:46 AM","False","False","False","False","False","1","2"
"dbo.CauHinhChietKhauPOS","USER_TABLE","PK_CauHinhChietKhauPOS","1/1/2025 1:31:46 AM","False","False","False","False","False","1","2"
"dbo.CauHinhChietKhau","USER_TABLE","PK_CauHinhChietKhau","1/1/2025 1:31:46 AM","False","False","False","False","False","13","2"
"dbo.CapDo_HinhThuc","USER_TABLE","PK__CapDo_HinhThuc__3449B6E4","1/1/2025 1:31:46 AM","False","False","False","False","False","1","2"
"dbo.CapDo","USER_TABLE","PK__CapDo__2CA8951C","1/1/2025 1:31:46 AM","False","False","False","False","False","4","6"
"dbo.CTPhatSinh11","USER_TABLE","PK__CTPhatSinh11","12/12/2024 1:00:00 AM","False","False","False","False","False","962426","33580"
"dbo.LoaiQuaTang","USER_TABLE","PK_LoaiQuaTang","8/14/2024 10:12:22 AM","False","False","False","False","False","2","2"
"dbo.LichSuThayDoiSieuThi","USER_TABLE","PK_LichSuThayDoiSieuThi","2/6/2024 1:00:08 AM","False","False","False","False","False","91068","1988"
"dbo.STAMPTRX","USER_TABLE","PK_STAMPTRX","1/7/2023 1:00:06 AM","False","False","False","False","False","6017","86"
"dbo.API_Log","USER_TABLE","PK_API_Log","1/1/2023 8:39:38 AM","False","False","False","False","False","193","7"
"dbo.CTPhatSinh_KhuyenMai10","USER_TABLE","IX_CTPhatSinh_KhuyenMai10","12/28/2022 1:02:16 AM","False","False","False","False","False","32469","231"
"dbo.CTPhatSinh_KhuyenMai10","USER_TABLE","PK_CTPhatSinh_KhuyenMai10","12/28/2022 1:02:16 AM","False","False","False","False","False","32469","701"
"dbo.CTPhatSinh_KhuyenMai09","USER_TABLE","IX_CTPhatSinh_KhuyenMai09","12/28/2022 1:02:16 AM","False","False","False","False","False","37200","264"
"dbo.CTPhatSinh_KhuyenMai09","USER_TABLE","PK_CTPhatSinh_KhuyenMai09","12/28/2022 1:02:16 AM","False","False","False","False","False","37200","804"
"dbo.CTPhatSinh_KhuyenMai08","USER_TABLE","IX_CTPhatSinh_KhuyenMai08","12/28/2022 1:02:15 AM","False","False","False","False","False","31129","222"
"dbo.CTPhatSinh_KhuyenMai08","USER_TABLE","PK_CTPhatSinh_KhuyenMai08","12/28/2022 1:02:15 AM","False","False","False","False","False","31129","673"
"dbo.CTPhatSinh_KhuyenMai07","USER_TABLE","IX_CTPhatSinh_KhuyenMai07","12/28/2022 1:02:13 AM","False","False","False","False","False","41137","292"
"dbo.CTPhatSinh_KhuyenMai07","USER_TABLE","PK_CTPhatSinh_KhuyenMai07","12/28/2022 1:02:13 AM","False","False","False","False","False","41137","889"
"dbo.CTPhatSinh_KhuyenMai06","USER_TABLE","IX_CTPhatSinh_KhuyenMai06","12/28/2022 1:01:57 AM","False","False","False","False","False","31631","225"
"dbo.CTPhatSinh_KhuyenMai06","USER_TABLE","PK_CTPhatSinh_KhuyenMai06","12/28/2022 1:01:57 AM","False","False","False","False","False","31631","684"
"dbo.CTPhatSinh_KhuyenMai03","USER_TABLE","IX_CTPhatSinh_KhuyenMai03","4/13/2022 1:00:34 AM","False","False","False","False","False","20820","148"
"dbo.CTPhatSinh_KhuyenMai03","USER_TABLE","PK_CTPhatSinh_KhuyenMai03","4/13/2022 1:00:34 AM","False","False","False","False","False","20820","451"
"dbo.CTPhatSinh_KhuyenMai02","USER_TABLE","IX_CTPhatSinh_KhuyenMai02","4/13/2022 1:00:27 AM","False","False","False","False","False","26088","187"
"dbo.CTPhatSinh_KhuyenMai02","USER_TABLE","PK_CTPhatSinh_KhuyenMai02","4/13/2022 1:00:27 AM","False","False","False","False","False","26088","565"
"dbo.SieuThi_Group","USER_TABLE","PK_SieuThi_Cum","2/19/2021 9:00:56 AM","False","False","False","False","False","42","2"
"dbo.PhieuQRCode","USER_TABLE","PK_QRCode","6/10/2020 10:44:14 AM","False","False","False","False","False","6","2"
"dbo.HinhThuc_BK","USER_TABLE","PK__HinhThuc__32616E72","12/31/2018 9:54:38 PM","False","False","False","False","False","1","2"
